Zeile; X-Koordinate; Y-Koordinate; Z-Koordinate; X-Vektor; Y-Vektor; Z-Vektor
0; 0,0; 0,0; 0,0; 1,0; 0,0; 0,0
1; 0,21260642982231376; 0,0; 0,0; 1,0; 0,0; 0,0
2; 0,4252128596446275; 0,0; 0,0; 1,0; 0,0; 0,0
3; 0,6378192894669412; 0,0; 0,0; 1,0; 0,0; 0,0
4; 0,850425719289255; 0,0; 0,0; 1,0; 0,0; 0,0
5; 1,0630321491115688; 0,0; 0,0; 1,0; 0,0; 0,0
6; 1,2756385789338824; 0,0; 0,0; 1,0; 0,0; 0,0
7; 1,4882450087561963; 0,0; 0,0; 1,0; 0,0; 0,0
8; 1,70085143857851; 0,0; 0,0; 1,0; 0,0; 0,0
9; 1,9134578684008232; 0,0; 0,0; 1,0; 0,0; 0,0
10; 2,1260642982231377; 0,0; 0,0; 1,0; 0,0; 0,0
11; 2,3386707280454506; 0,0; 0,0; 1,0; 0,0; 0,0
12; 2,5461424962999892; 0,0; -0,02236553049228168; 0,8998645443451205; 0,0; -0,43616946457833194
13; 2,7374594843968882; 0,0; -0,11509796315379092; 0,8998645443451205; 0,0; -0,43616946457833194
14; 2,9287764724937877; 0,0; -0,2078303958153003; 0,8998645443451205; 0,0; -0,43616946457833194
15; 3,1200934605906863; 0,0; -0,3005628284768093; 0,8998645443451205; 0,0; -0,43616946457833194
16; 3,311410448687586; 0,0; -0,3932952611383189; 0,8998645443451205; 0,0; -0,43616946457833194
17; 3,502727436784485; 0,0; -0,4860276937998281; 0,8998645443451205; 0,0; -0,43616946457833194
18; 3,694044424881384; 0,0; -0,5787601264613375; 0,8998645443451205; 0,0; -0,43616946457833194
19; 3,885361412978284; 0,0; -0,671492559122847; 0,8998645443451205; 0,0; -0,43616946457833194
20; 4,076678401075183; 0,0; -0,7642249917843562; 0,8998645443451205; 0,0; -0,43616946457833194
21; 4,267995389172082; 0,0; -0,8569574244458653; 0,8998645443451205; 0,0; -0,43616946457833194
22; 4,452752049120672; 0,0; -0,9617578202992905; 0,83031743013471; 0,0; -0,557290736702568
23; 4,619675318058534; 0,0; -1,093105241032227; 0,7369486696085327; 0,0; -0,6759487098606032
24; 4,764920558595208; 0,0; -1,2480869907563164; 0,6267793659772216; 0,0; -0,779196782838066
25; 4,885176551069022; 0,0; -1,423169882325524; 0,5023210973341372; 0,0; -0,8646811638824036
26; 4,9777017667025625; 0,0; -1,614362474017941; 0,36641119359567687; 0,0; -0,9304530279427282
27; 5,040386867440592; 0,0; -1,8173060641891015; 0,2221480526426379; 0,0; -0,9750129448920583
28; 5,071802793457873; 0,0; -2,0273740585113527; 0,07282050478032688; 0,0; -0,9973450626957244
29; 5,071233342064847; 0,0; -2,239777444480614; -0,07816716417311587; -0,0; -0,9969402662372172
30; 5,038691495295499; 0,0; -2,4496739686417754; -0,2273728218885257; -0,0; -0,9738077838395259
31; 4,97491912395022; 0,0; -2,652278527571471; -0,37139496133107763; -0,0; -0,928474976883
32; 4,881370074840717; 0,0; -2,8429722559864476; -0,5069502464129502; -0,0; -0,8619753173159015
33; 4,760177026804507; 0,0; -3,017407825047891; -0,6309483636509027; -0,0; -0,7758248271396374
34; 4,614102871086994; 0,0; -3,1716085503299474; -0,7405624734026055; -0,0; -0,6719875169880877
35; 4,446477724493981; 0,0; -3,302059050044466; -0,8332936545738762; -0,0; -0,5528306117129491
36; 4,2628020223243075; 0,0; -3,408749294842244; -0,8320502943378443; -0,0; -0,5547001962252285
37; 4,085902779812534; 0,0; -3,526682123183427; -0,8320502943378443; -0,0; -0,5547001962252285
38; 3,9090035373007583; 0,0; -3,6446149515246105; -0,8320502943378443; -0,0; -0,5547001962252285
39; 3,732104294788984; 0,0; -3,762547779865793; -0,8320502943378443; -0,0; -0,5547001962252285
40; 3,555205052277209; 0,0; -3,880480608206976; -0,8320502943378443; -0,0; -0,5547001962252285
41; 3,3783058097654366; 0,0; -3,9984134365481574; -0,8320502943378443; -0,0; -0,5547001962252285
42; 3,2014065672536622; 0,0; -4,11634626488934; -0,8320502943378443; -0,0; -0,5547001962252285
43; 3,0245073247418874; 0,0; -4,234279093230523; -0,8320502943378443; -0,0; -0,5547001962252285
44; 2,8476080822301135; 0,0; -4,352211921571706; -0,8320502943378443; -0,0; -0,5547001962252285
45; 2,6707088397183387; 0,0; -4,470144749912889; -0,8320502943378443; -0,0; -0,5547001962252285
46; 2,4938095972065644; 0,0; -4,588077578254071; -0,8320502943378443; -0,0; -0,5547001962252285
47; 2,31691035469479; 0,0; -4,7060104065952535; -0,8320502943378443; -0,0; -0,5547001962252285
48; 2,1400111121830157; 0,0; -4,823943234936436; -0,8320502943378443; -0,0; -0,5547001962252285
49; 1,9631118696712413; 0,0; -4,941876063277619; -0,8320502943378443; -0,0; -0,5547001962252285
50; 1,786212627159467; 0,0; -5,059808891618802; -0,8320502943378443; -0,0; -0,5547001962252285
