Zeile; X-Koordinate; Y-Koordinate; Z-Koordinate; X-Vektor; Y-Vektor; Z-Vektor
78;-5,318600289;7,906124458;6,061527296;0,727875849;0,059067087;0,683160178
79;-4,360607552;7,978785591;6,832980566;0,822548445;0,058767185;0,565650488
80;-3,297314541;8,051082213;7,451313071;0,898604256;0,058467427;0,434847044
81;-2,15252669;8,123004599;7,90124345;0,954030331;0,058168103;0,294011223
82;-0,95326517;8,194565702;8,174940927;0,98711157;0,057882228;0,149199183
83;0,273342201;8,265779329;8,267697938;0,998339776;0,057596303;0,000597557
84;1,500058238;8,336634104;8,176151005;0,987304948;0,05730889;-0,148137203
85;2,699940429;8,407143117;7,904766771;0,955029063;0,057035026;-0,290975077
86;3,847246957;8,477319023;7,460824337;0,902020502;0,056761096;-0,427945314
87;4,916710838;8,547152171;6,852805987;0,829443944;0,056486639;-0,555726554
88;5,886538424;8,616654292;6,095825901;0,740643774;0,056224293;-0,669541357
89;6,737111268;8,685837377;5,206928224;0,636040988;0,055962194;-0,769623345
90;7,449665048;8,754691999;4,20397443;0,51791802;0,055698824;-0,853614999
91;8,011152312;8,823228969;3,10920428;0,391243108;0,05544685;-0,918615522
92;8,4113232;8,891460098;1,94572522;0,256318237;0,055196614;-0,965015179
93;8,640850744;8,959376344;0,736939912;0,115776153;0,054943129;-0,991754574
94;8,697048793;9,026987144;-0,492216247;-0,024576891;0,054700496;-0,998200297
95;8,58037636;9,094304335;-1,717126849;-0,164556905;0,054461837;-0,984862901
96;8,291987023;9,16131975;-2,91331246;-0,301918847;0,054217453;-0,951790669
97;7,839195865;9,228040885;-4,057491339;-0,430930985;0,053983258;-0,900768724
98;7,232502226;9,294479549;-5,128066226;-0,551502884;0,053755493;-0,832439137
99;6,482729334;9,360629296;-6,103793592;-0,662185854;0,053519856;-0,747425929
100;5,605250595;9,426495041;-6,96656064;-0,758327109;0,053293383;-0,649692089
101;4,618190215;9,492088257;-7,701475477;-0,839919838;0,053075448;-0,540108936
102;3,539652156;9,557405266;-8,294037116;-0,906301189;0,052848486;-0,419315146
103;2,390166749;9,622447847;-8,733558034;-0,954763992;0,05262932;-0,29267025
104;1,191889414;9,687226678;-9,014075853;-0,985484053;0,052419861;-0,161472408
105;-0,033304278;9,751741775;-9,130024677;-0,998296626;0,052201488;-0,026054766
106;-1,262958236;9,815991473;-9,079089851;-0,992778945;0,051989683;0,108106613
107;-2,474878022;9,879985265;-8,864683454;-0,969622187;0,051787227;0,239062538
108;-3,647427569;9,943727361;-8,490728441;-0,928877682;0,051576886;0,366777966
109;-4,759372062;10,0072125;-7,963131324;-0,871842635;0,051373189;0,487084403
110;-5,792011602;10,07044915;-7,293410827;-0,800368623;0,051176369;0,597319886
111;-6,727727252;10,1334451;-6,493837631;-0,714643575;0,050977572;0,697628732
112;-7,549441029;10,19619238;-5,577491276;-0,61630148;0,050778547;0,785871507
113;-8,244281232;10,25869849;-4,561515814;-0,509046786;0,05058639;0,859251062
114;-8,8015242;10,32097234;-3,464010494;-0,393165414;0,050398675;0,91808547
115;-9,210765757;10,38300788;-2,303170163;-0,269709827;0,050204317;0,961632017
116;-9,465919457;10,4448088;-1,098997068;-0,143763415;0,050016578;0,988347319
117;-9,564639807;10,5063837;0,127965782;-0,016025255;0,049836669;0,998628809
118;-9,504760371;10,56773161;1,35742977;0,1131856;0,049648715;0,992332618
119;-9,287069333;10,6288512;2,568983155;0,238972354;0,049466247;0,969765593
120;-8,917385906;10,68974987;3,743143251;0,359694732;0,049291397;0,931767169
121;-8,401902925;10,75043256;4,860995854;0,47537259;0,049110635;0,878412799
122;-7,748058174;10,8108928;5,903991475;0,583095852;0,048934531;0,810928258
123;-6,96807403;10,87113751;6,85639062;0,679995204;0,048762964;0,731593259
124;-6,07511309;10,93117433;7,703786874;0,766298617;0,048594302;0,640644225
125;-5,082570951;10,99099707;8,432012141;0,840992937;0,048420114;0,538875099
126;-4,006659749;11,05060943;9,030311975;0,901379477;0,048251495;0,430333396
127;-2,865003065;11,11001869;9,490974336;0,947645551;0,048089923;0,315682227
128;-1,675032211;11,16922447;9,806480471;0,979619397;0,047920911;0,195062616
129;-0,455035044;11,22822475;9,971552205;0,996212674;0,047756829;0,072660808
130;0,776022845;11,28702551;9,985794282;0,997637543;0,047598786;-0,049534729
131;1,999591435;11,34563268;9,849443256;0,984034746;0,047438917;-0,171537657
132;3,197063472;11,40403933;9,563464915;0,955476936;0,04727816;-0,291253498
133;4,350771177;11,46225093;9,133619761;0,913202903;0,047122068;-0,404771503
134;5,444124131;11,5202743;8,567566509;0,857612934;0,046971275;-0,512146223
135;6,460674873;11,57810642;7,872984296;0,788771955;0,046813615;-0,612900717
136;7,385438791;11,63574749;7,060145668;0,709263011;0,046660422;-0,703398028
137;8,206257077;11,69320308;6,142428456;0,620245188;0,046513515;-0,783027714
138;8,911457435;11,75047753;5,133151919;0,521755326;0,046362615;-0,851834425
139;9,489988721;11,80756473;4,046291115;0,415651696;0,046213619;-0,908349035
140;9,934982398;11,86446988;2,898239203;0,305285614;0,04606794;-0,951145856
141;10,24131951;11,92119939;1,705668417;0,190797201;0,045927246;-0,980554494
142;10,40395911;11,97775018;0,485177579;0,072509309;0,045779452;-0,996316537
143;10,42051269;12,03412203;-0,746018261;-0,045376662;0,04563612;-0,997927003
144;10,29273063;12,09031992;-1,970698091;-0,161564689;0,045498308;-0,985812738
145;10,0226778;12,14634877;-3,172048509;-0,276076771;0,04535863;-0,960064691
146;9,613044153;12,20220223;-4,333245301;-0,387115205;0,045217977;-0,920921904
147;9,070707303;12,2578849;-5,438742182;-0,491208332;0,045080927;-0,869874752
148;8,404240293;12,31340235;-6,474165818;-0,588425899;0,044949069;-0,807300776
149;7,6221617;12,36875326;-7,425279901;-0,678550937;0,044810717;-0,73318526
150;6,734734097;12,42393617;-8,27897206;-0,758707109;0,044676446;-0,649898098
151;5,755167917;12,4789553;-9,025176898;-0,828025537;0,044546455;-0,558917993
152;4,696699723;12,53381606;-9,65448161;-0,886641691;0,044417115;-0,460319055
153;3,572799046;12,58851277;-10,1576906;-0,933826016;0,044284141;-0,354975895
154;2,398641053;12,6430486;-10,52890049;-0,968121474;0,044154665;-0,246558668
155;1,189990105;12,69742822;-10,76478253;-0,989795498;0,044030624;-0,135521869
156;-0,037608086;12,75165313;-10,86210518;-0,998796435;0,043900212;-0,021873551
157;-1,268306591;12,80571922;-10,81877049;-0,994823957;0,043775053;0,091700819
158;-2,486303971;12,85963065;-10,63700521;-0,978283164;0,043651515;0,202624272
159;-3,676304457;12,91339274;-10,32003199;-0,949424131;0,043531415;0,310964362
160;-4,823055868;12,96700222;-9,871124354;-0,908186125;0,043405706;0,416309868
161;-5,912001896;13,02045949;-9,29596229;-0,855988818;0,043283388;0,515179281
162;-6,930298395;13,07376815;-8,603336664;-0,793659468;0,043165551;0,606828957
163;-7,865525224;13,12693266;-7,802080207;-0,721262997;0,043047145;0,691322379
164;-8,705405737;13,17994744;-6,901381589;-0,639472512;0,042926353;0,767614639
165;-9,4401836;13,23281585;-5,913037729;-0,551030534;0,042808421;0,833386339
166;-10,06202266;13,28554194;-4,849991416;-0,45633479;0,042695354;0,88878325
167;-10,56321288;13,33812708;-3,725024036;-0,35537291;0,042576572;0,933754427
168;-10,93687207;13,39056721;-2,551506274;-0,250290462;0,042462262;0,967239185
169;-11,17992694;13,44286608;-1,344135292;-0,143596977;0,042349157;0,988729719
170;-11,29041937;13,49502835;-0,117501981;-0,035317375;0,042239688;0,998483095
171;-11,26641559;13,5470519;1,113857563;0,074373375;0,042124688;0,996340359
172;-11,10788663;13,59893605;2,335224037;0,182164659;0,04201302;0,982370064
173;-10,81839726;13,65068374;3,532348619;0,286761913;0,041904565;0,957084956
174;-10,40183966;13,70229966;4,691399574;0,388221588;0,041797604;0,920617705
175;-9,862248064;13,75377941;5,798534038;0,485914297;0,041686406;0,873011764
176;-9,20622029;13,80512469;6,840930127;0,576712082;0,04157795;0,815888748
177;-8,442684417;13,85633849;7,807371727;0,66028423;0,041473678;0,749869769
178;-7,580497266;13,90742438;8,686934178;0,736669824;0,041368327;0,674986097
179;-6,628860204;13,95837723;9,46884218;0,804925666;0,0412612;0,591939343
180;-5,599231302;14,00920011;10,14479674;0,863102242;0,041156306;0,503349459
181;-4,50398531;14,0598963;10,70827955;0,91136007;0,041055696;0,409557387
